Čas;Požadavek;Enkodér;Požadavek přepočtený;DeltaMínus;DeltaPlus;Výsledek
2025-02-26 10:12:25;6272;1657;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:12:50;6272;1665;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:13:14;6272;1652;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:13:39;6272;1660;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:14:04;6272;1639;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:14:29;6272;1647;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:14:53;6272;1639;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:15:18;6272;1651;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:15:43;6272;1660;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:16:08;6272;1655;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:17:50;6272;1588;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:18:15;6272;1661;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:18:40;6272;1651;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:19:05;6272;1656;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:19:29;6272;1654;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:19:54;6272;1650;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:20:19;6272;1625;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:20:44;6272;1659;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:21:09;6272;1654;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:21:34;6272;1656;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:21:58;6272;1653;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:22:23;6272;1655;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:22:48;6272;1662;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:23:13;6272;1651;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:23:37;6272;1660;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:24:02;6272;1654;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:25:32;6272;1628;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:25:57;6272;1660;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:26:21;6272;1643;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:26:46;6272;1651;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:27:11;6272;1659;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:27:36;6272;1643;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:28:01;6272;1655;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:28:26;6272;1639;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:28:49;6272;1;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:29:16;6272;1661;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:29:41;6272;1646;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:30:31;6272;1656;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:30:56;6272;1649;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:31:20;6272;1639;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:31:46;6272;1654;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:32:10;6272;1657;1639.2727272727273;1622.2727272727273;1656.2727272727273;False
2025-02-26 10:32:35;6272;1652;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:33:00;6272;1652;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
2025-02-26 10:33:25;6272;1648;1639.2727272727273;1622.2727272727273;1656.2727272727273;True
